Name ,Link,Party,Acct
"Kelly, Mark",https://twitter.com/SenMarkKelly,D,SenMarkKelly
"Klobuchar, Amy",https://twitter.com/SenAmyKlobuchar,D,SenAmyKlobuchar
"Leahy, Patrick J.",https://twitter.com/SenatorLeahy,D,SenatorLeahy
"Luján, Ben Ray",https://twitter.com/SenatorLujan,D,SenatorLujan
"Manchin, Joe, III",https://twitter.com/Sen_JoeManchin,D,Sen_JoeManchin
"Markey, Edward J.",https://twitter.com/SenMarkey,D,SenMarkey
"Menendez, Bob",https://twitter.com/SenatorMenendez,D,SenatorMenendez
"Merkley, Jeff",https://twitter.com/SenJeffMerkley,D,SenJeffMerkley
"Murphy, Christopher",https://twitter.com/ChrisMurphyCT,D,ChrisMurphyCT
"Murray, Patty",https://twitter.com/PattyMurray,D,PattyMurray
"Ossoff, Jon",https://twitter.com/ossoff,D,ossoff
"Padilla, Alex",https://twitter.com/SenAlexPadilla,D,SenAlexPadilla
"Peters, Gary C.",https://twitter.com/SenGaryPeters,D,SenGaryPeters
"Reed, Jack",https://twitter.com/SenJackReed,D,SenJackReed
"Rosen, Jacky",https://twitter.com/SenJackyRosen,D,SenJackyRosen
"Schatz, Brian",https://twitter.com/SenBrianSchatz,D,SenBrianSchatz
"Schumer, Charles E.",https://twitter.com/SenSchumer,D,SenSchumer
"Shaheen, Jeanne",https://twitter.com/SenatorShaheen,D,SenatorShaheen
"Sinema, Kyrsten",https://twitter.com/SenatorSinema,D,SenatorSinema
"Smith, Tina",https://twitter.com/SenTinaSmith,D,SenTinaSmith
"Stabenow, Debbie",https://twitter.com/SenStabenow,D,SenStabenow
"Tester, Jon",https://twitter.com/SenatorTester,D,SenatorTester
"Van Hollen, Chris",https://twitter.com/ChrisVanHollen,D,ChrisVanHollen
"Warner, Mark R.",https://twitter.com/MarkWarner,D,MarkWarner
"Warnock, Raphael G.",https://twitter.com/SenatorWarnock,D,SenatorWarnock
"Warren, Elizabeth",https://twitter.com/SenWarren,D,SenWarren
"Whitehouse, Sheldon",https://twitter.com/SenWhitehouse,D,SenWhitehouse
"Wyden, Ron",https://twitter.com/RonWyden,D,RonWyden
"Adams, Alma",https://twitter.com/RepAdams,D,RepAdams
"Aguilar, Pete",https://twitter.com/RepPeteAguilar,D,RepPeteAguilar
"Allred, Colin",https://twitter.com/RepColinAllred,D,RepColinAllred
"Auchincloss, Jake",https://twitter.com/RepAuchincloss,D,RepAuchincloss
"Axne, Cindy",https://twitter.com/RepCindyAxne,D,RepCindyAxne
"Barragán, Nanette",https://twitter.com/RepBarragan,D,RepBarragan
"Bass, Karen",https://twitter.com/RepKarenBass,D,RepKarenBass
"Beatty, Joyce",https://twitter.com/RepBeatty,D,RepBeatty
"Bera, Ami",https://twitter.com/RepBera,D,RepBera
"Beyer, Don",https://twitter.com/RepDonBeyer,D,RepDonBeyer
"Bishop Jr., Sanford D.",https://twitter.com/SanfordBishop,D,SanfordBishop
"Blumenauer, Earl",https://twitter.com/repblumenauer,D,repblumenauer
"Blunt Rochester, Lisa",https://twitter.com/RepLBR,D,RepLBR
"Bonamici, Suzanne",https://twitter.com/RepBonamici,D,RepBonamici
"Bourdeaux, Carolyn",https://twitter.com/RepBourdeaux,D,RepBourdeaux
"Bowman, Jamaal",https://twitter.com/RepBowman,D,RepBowman
"Boyle, Brendan",https://twitter.com/CongBoyle,D,CongBoyle
"Brown, Anthony",https://twitter.com/RepAnthonyBrown,D,RepAnthonyBrown
"Brown, Shontel",https://twitter.com/RepShontelBrown,D,RepShontelBrown
"Brownley, Julia",https://twitter.com/RepBrownley,D,RepBrownley
"Bush, Cori",https://twitter.com/RepCori,D,RepCori
"Bustos, Cheri",https://twitter.com/RepCheri,D,RepCheri
"Butterfield, G.K.",https://twitter.com/GKButterfield,D,GKButterfield
"Carbajal, Salud",https://twitter.com/RepCarbajal,D,RepCarbajal
"Carson, André",https://twitter.com/RepAndreCarson,D,RepAndreCarson
"Carter, Troy",https://twitter.com/RepTroyCarter,D,RepTroyCarter
"Cartwright, Matt",https://twitter.com/RepCartwright,D,RepCartwright
"Case, Ed",https://twitter.com/RepEdCase,D,RepEdCase
"Casten, Sean",https://twitter.com/RepCasten,D,RepCasten
